,fips_code,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Hospitals,Local_Hospital
818,19061,262.0,10522.0,45869.0,873076.0,2.0,yes
819,19063,0.0,0.0,0.0,0.0,0.0,no
820,19065,0.0,0.0,0.0,0.0,0.0,no
821,19067,0.0,0.0,0.0,0.0,0.0,no
822,19069,0.0,0.0,0.0,0.0,0.0,no
823,19071,0.0,0.0,0.0,0.0,0.0,no
824,19073,0.0,0.0,0.0,0.0,0.0,no
825,19075,0.0,0.0,0.0,0.0,0.0,no
826,19077,0.0,0.0,0.0,0.0,0.0,no
827,19079,0.0,0.0,0.0,0.0,0.0,no
828,19081,0.0,0.0,0.0,0.0,0.0,no
829,19083,0.0,0.0,0.0,0.0,0.0,no
830,19085,0.0,0.0,0.0,0.0,0.0,no
831,19087,0.0,0.0,0.0,0.0,0.0,no
832,19089,0.0,0.0,0.0,0.0,0.0,no
833,19091,0.0,0.0,0.0,0.0,0.0,no
834,19093,0.0,0.0,0.0,0.0,0.0,no
835,19095,0.0,0.0,0.0,0.0,0.0,no
836,19097,0.0,0.0,0.0,0.0,0.0,no
837,19099,48.0,696.0,2742.0,126276.0,1.0,yes
838,19101,0.0,0.0,0.0,0.0,0.0,no
839,19103,1016.0,36584.0,248118.0,8235757.0,3.0,yes
840,19105,0.0,0.0,0.0,0.0,0.0,no
841,19107,0.0,0.0,0.0,0.0,0.0,no
842,19109,0.0,0.0,0.0,0.0,0.0,no
843,19111,50.0,826.0,2880.0,155076.0,1.0,yes
844,19113,549.0,21859.0,105374.0,2675069.0,2.0,yes
845,19115,0.0,0.0,0.0,0.0,0.0,no
846,19117,0.0,0.0,0.0,0.0,0.0,no
847,19119,0.0,0.0,0.0,0.0,0.0,no
848,19121,0.0,0.0,0.0,0.0,0.0,no
849,19123,0.0,0.0,0.0,0.0,0.0,no
850,19125,0.0,0.0,0.0,0.0,0.0,no
851,19127,27.0,897.0,2942.0,162534.0,1.0,yes
852,19129,0.0,0.0,0.0,0.0,0.0,no
853,19131,0.0,0.0,0.0,0.0,0.0,no
854,19133,0.0,0.0,0.0,0.0,0.0,no
855,19135,0.0,0.0,0.0,0.0,0.0,no
856,19137,0.0,0.0,0.0,0.0,0.0,no
857,19139,13.0,903.0,2744.0,152988.0,1.0,yes
858,19141,0.0,0.0,0.0,0.0,0.0,no
859,19143,0.0,0.0,0.0,0.0,0.0,no
860,19145,0.0,0.0,0.0,0.0,0.0,no
861,19147,0.0,0.0,0.0,0.0,0.0,no
862,19149,0.0,0.0,0.0,0.0,0.0,no
863,19151,0.0,0.0,0.0,0.0,0.0,no
864,19153,1575.0,77259.0,391022.0,7494400.0,6.0,yes
865,19155,251.0,11143.0,49812.0,849684.0,2.0,yes
866,19157,33.0,1237.0,4253.0,154450.0,1.0,yes
867,19159,0.0,0.0,0.0,0.0,0.0,no
868,19161,0.0,0.0,0.0,0.0,0.0,no
869,19163,441.0,18076.0,81033.0,1614440.0,3.0,yes
870,19165,0.0,0.0,0.0,0.0,0.0,no
871,19167,0.0,0.0,0.0,0.0,0.0,no
872,19169,199.0,8356.0,34406.0,697081.0,1.0,yes
873,19171,0.0,0.0,0.0,0.0,0.0,no
874,19173,0.0,0.0,0.0,0.0,0.0,no
875,19175,0.0,0.0,0.0,0.0,0.0,no
876,19177,0.0,0.0,0.0,0.0,0.0,no
877,19179,120.0,1978.0,8126.0,361144.0,1.0,yes
878,19181,0.0,0.0,0.0,0.0,0.0,no
879,19183,0.0,0.0,0.0,0.0,0.0,no
